"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
273,One  Wrist  Watch  Rolex (No.116233),"Brig.   Syed   M.   Adnan, Military  Secretary  to  the
President",10/28/2011,"Rs.725,000/-","Rs.143,000/-","Amount deposited, gift
retained"
274,One  Wrist  Watch  Rolex (No.116233),"Capt.  (PN).  Amir  Saeed,
Deputy Military Secretary (DMS) to the President",10/28/2011,"Rs.725,000/-","Rs.143,000/-","Amount
deposited, gift retained"
275,One Wrist Watch Rolex,"Cdr.  Syed  Salman  Shah, ADC to the President",10/28/2011,"Rs.525,000/-","Rs.103,000/-","Amount deposited, gift
retained"
276,One Wrist Watch EBEL,"Mr.       Asad       Majeed,
Additional        Secretary, (FA), President Sectt.",10/28/2011,"Rs.115,000/-","Rs.21,000/-","Amount
deposited, gift retained"
277,One       Wrist       Watch Longines,"Col.    Salman    Saleem,
Classified             Medical Specialist.",10/28/2011,"Rs.120,000/-","Rs.22,000/-","Amount
deposited, gift retained"
278,One       Wrist       Watch Longines,"Lt.  Col.  Baber  Mumtaz, Chief    Security    Officer
(CSO) to the President",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount deposited, gift
retained"
279,One       Wrist       Watch Longines,"Maj.              Muhammad
Shakeel,    SO    to    the President",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount
deposited, gift retained"
280,One       Wrist       Watch Longines,"Mr.    M.    Junaid    Khan, Protocol Assistant.",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount deposited, gift retained"
281,One       Wrist       Watch Longines,"Hav.   Muhammad   Jamil, Security Staff",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount deposited, gift"
,,,,,,retained
282,One       Wrist       Watch Longines,"L/NK.    Abdul    Rehman, Security Staff",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount deposited, gift
retained"
283,One       Wrist       Watch Longines (bracelet),"L/NK. Akbar Ali, Security Staff.",10/28/2011,"Rs.95,000/-","Rs.17,000/-","Amount
deposited, gift retained"
284,One       Wrist       Watch Longines (bracelet),"Mr.             Farmanullah, Security Staff.",10/28/2011,"Rs.95,000/-","Rs.17,000/-","Amount deposited, gift
retained"
285,One       Wrist       Watch Longines,"Const.  Muhammad  Riaz, Special Brach.",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount
deposited, gift retained"
286,One       Wrist       Watch Longines,"Mr. Wazir Ali, Valet.",10/28/2011,"Rs.85,000/-","Rs.15,000/-","Amount deposited, gift retained"
287,Two mats,"Brig.     Tahir     Mahmud Malik,  Military  Secretary
to the Prime Minister",11/6/2011,"Rs. 2,500/-",Free of Cost,Retained
288,One  (small)  Carpet  (Jai Namaz),"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",11/17/2011,"Rs.8,500/-",Free of Cost,Retained
289,"Two  Wrist  Watches  Gio Monoco Lady’s & Gents, Bracelet,   Pair   of   Ear Rings,   Ring,   Ball   pen
and Pair of cufflinks","Mr.  Ikramullah  Mehsud, Additional         Secretary (ME&A), Foreign Affairs",11/22/2011,"Rs.387,149/-","Rs.56,573/-","Amount deposited, gift retained"
290,One  Wrist  Watch  Guess Collection No. GC 56002,"Mr.  Ikramullah  Mehsud,
Additional        Secretary, Foreign Affairs",11/23/2011,"Rs.30,000/-","Rs.4,000/-","Amount
deposited, gift retained"
291,One       Wrist       Watch Hamilton,"Malik     Abdur     Rashid, Photographer, PID",12/12/2011,"Rs.35,000/-","Rs.5,000/-","Amount deposited, gift
retained"
292,One  (small)  Decoration Tea Set,"Secretary, Commerce",12/20/2011,"Rs.3,500/-",Free of Cost,Retained
293,a.  Wrist      Watch      Gio Monocco         (Gents),"Chaudhary  Pervez  Ellahi, Senior      Minister      for",12/22/2011,"a. Rs.85,000/
b. Rs.125,000/",-,Wrist Watch Gio Monocco (Gents)
,"HYPNo2      Automatic leather Strap S/Steel
b.  Wrist      Watch      Gio Monocco          (Lady)
(Octopus)       S/Steel
Diamond            Bazal (Swiss) (No.2035M)
c.  One  Ring  in  Gold  & Diamond
d.  One  Bracelet  in  Gold & Diamond
e.  Pair   of   Ear-Rings   in gold & Diamond
f.   One Ball Pen
g.  One Pair of Cufflinks",Industries   and   Defence Production,,"c. Rs.31,128/-
d. Rs.77,100/-
e. Rs.64,421/-
f. Rs.3,000/-
g. Rs.1,500/-",,"Deposited in Toshakhana
Other Gifts Auctioned for: -
b. Rs.23,000/-
c. Rs.61,230/-
d. Rs.221,015/-
e. Rs.131,700/-
f.  Rs.2,505/-
g. Rs.1,550/-"
1,One    Wrist    Watch Technomarine,"Mr.     Siraj     Saleem Shamsuddin,         Ex- Principal  Secretary  to
the Prime Minister",1/13/2010,"Rs.43,000/-","Rs.4,950/-","Amount deposited, gift retained"
2,Wrist Watch POG,"Brig.    Nazir    Ahmed
Butt,  Ex-MS  to  Prime Minister",1/13/2010,"Rs.25,000/-","Rs.2,250/-","Amount deposited, gift retained"
3,"One    Lady’s    Wrist
Watch Tecnomarine","Mrs.   Sumbul   Nazir, Wife   of   EX-   MS   to Prime Minister",1/13/2010,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift retained"
4,One    Wrist    Watch POG,"Capt ® Khalid Sultan, Ex-PSO     to     Prime Minister",1/13/2010,"Rs.25,000/-","Rs.2,250/-","Amount deposited, gift retained"
5,"One  Box  containing a      Wrist      Watch Philipe Vendour with pair   of   Studs,   bal
pen and Wallet","Mr.  Farhan   Tanveer, Air Crew",1/21/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
6,"One  Box  containing a      Wrist      Watch Philipe Vendour with pair   of   Studs,   bal
pen and Wallet ,","Mr.    Ahsan    Ahmed Bhatti, Air Crew",1/21/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
7,"One  Box  Containing a      Wrist      Watch Philipe Vendour with
pair  of  Studs  ,  bal pen and Wallet ,","Syed   Imran   Ali,   Air Crew",1/21/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
8,"One  Box  Containing
a      Wrist      Watch Philipe Vendour with","Mr.           Muhammad Tanveer, Air Crew `",1/21/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
,"pair   of   Studs,   bal pen and Wallet",,,,,
9,"One  Box  containing a      Wrist      Watch Philipe Vendour with pair   of   Studs,   ball
pen and Wallet",Wg.  Cdr.  Adan  Rishi Pak/10646 GD (P),1/21/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
10,One Bowl (Silver),"Minister  of  State  for Foreign           Affairs, Nawabzada        Malik
Amad Khan",2/12/2010,"Rs. 15,000/-",-,"Auctioned for Rs.21,200/-"
11,"One     wrist     watch Rolex         (dateJust Steel  &  Gold  Model
No.116233)","Mr.  Salman  Siddique, Finance Secretary",2/19/2010,"Rs. 700,000/-",-,"Auctioned for Rs.501,000/-"
12,One  Ceramic  Vase/ Decoration Piece,"Mr.    Shaukat    Fayaz Ahmed  Tarin  Minister for Finance, Economic
Affairs and Statistics,",2/21/2010,Rs. 3000/-,Free of cost,Retained
13,"a.  Three           Wall Hangings,
b.  A Book","Mr.    Shaukat    Fayaz Ahmed  Tarin  Minister for Finance, Economic Affairs and Statistics,",2/21/2010,"a. Rs.5,000/
b. Rs.2,000/-
Total: - Rs.7,000/-",Free of cost,Retained
14,"One     wrist     watch Rolex               (with
guarantee        card) (Oyster      Perpetual
Sr.       No.V876927) (Ref116243)","Mr.    Shaukat    Fayaz Ahmad Tarin, Minister for Finance, Revenue, Economic  Affairs  and Statistics",2/24/2010,"Rs. 1,200,000/-",-,"Auctioned for Rs.741,000/-"
15,One Decoration Bowl,"Mr.   Sajjad   Kamran, Director          General
(Afghanistan), Foreign Affairs",3/22/2010,"Rs.8,000/-",Free of cost,Retained
16,One Carpet,"Mr.  Asif  Ali  Zardari, President of Pakistan",3/31/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
17,One Carpet,"Syed    Yousaf    Raza Gillani, Prime Minister",4/1/2010,"Rs.22,000/-","Rs.1,800/-","Amount deposited, gift retained"
,,"of Pakistan,",,,,
18,Wrist              Watch Hamilton,"Mr.     Zia-ur-Rehman, Secretary  Ministry  of
Food and Agriculture",4/1/2010,"Rs.110,000/-","Rs.15,000/-","Amount deposited, gift retained"
19,Decoration Box,"Mr.     Farhat     Iqbal,
Protocol  Officer  (V-I), Foreign Affairs",4/5/2010,"Rs.5,500/-",Free of cost,Retained
20,Decoration Box,"Mr.    Saeed    Akhtar, Protocol           Officer
(Addl), Foreign Affairs",4/5/2010,"Rs.4,000/-",Free of cost,Retained
21,One Decoration Bowl,"Syed    Ahsan    Raza, Deputy      Chief      of
Protocol,          (DCP), Foreign Affairs",4/5/2010,"Rs.7,000/-",Free of cost,Retained
22,"a.  One  wrist  watch,
gent’s,
b.  One  wrist  watch ladies.
c.  Pair of Cufflinks
d.  Lady’s Ring
e.  Pair of Ear Ring
f.   One Bracelet
g.  One pen","Minister  for  Water  & Power,   Raja   Pervez Ashraf",4/12/2010,"a.  Rs.34,000/-
b.  Rs.50,000/-
c.  Rs.2,000/-
d.  Rs.38,500/-
e.  Rs.18,600/-
f.   Rs.80,200/-
g.  Rs.1,500/-","Rs.32,190/-","Amount deposited, gift retained"
23,One Plate,"Syed     Ahsan     Raza Shah, Deputy Chief of Protocol, DCP, Foreign
Affairs",4/19/2010,"Rs.6,000/-",Free of cost,Retained
24,"One                 Small
Decoration Plate","Mr.           Muhammad Farhat  Iqbal,  Protocol Officer,           Foreign
Affairs",4/19/2010,"Rs.1,500/-",Free of cost,Retained
25,One Vase,"Saeed             Akhtar, Protocol   Officer   (V-I
Addl), Foreign Affairs",4/19/2010,"Rs.8,000/-",Free of cost,Retained
26,One    Flower    Vase (Glass),"Gp.     Capt.     Waqar
Ahmad,           Deputy Military   Secretary  to",4/21/2010,"Rs.8,000/-",Free of cost,Retained
,,Prime             Minister (DMS to PM),,,,
27,One Jar with Lid,"Mr.  Imran  Mehmood, Chief  Security  Officer to     Prime     Minister
(CSO to PM)",4/21/2010,"Rs.12,000/-",Rs.300/-,"Amount deposited, gift retained"
28,One plate (Porcelain),"Mr.    Nazar    Gondal, Minister   for   Food   & Agriculture",5/3/2010,"Rs.10,000/-",Free of cost,Retained
29,"One    Wrist    Watch with    pen,    Tie    &
Cufflinks   (Van   der Bauwede)","Shahid  Saleem  Khan Sr.              Reporter,
Associated   Press   of Pakistan, APP",5/4/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
30,One    Wrist    Watch Axcent,Mr.    Shafiq    Qureshi Reporter APP,5/4/2010,"Rs.8,000/-",Free of Cost,Retained
31,One Ceramic Tea Set,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.4,000/-",Free of cost,Retained
32,One            Souvenir (Crystal),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
33,"Four  Photographs  of President with Mr. & Mrs.    G.W.    Bush,
President of USA","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
34,One Candle (Marble),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,500/-",Free of cost,Retained
35,One Compass,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.4,500/-",Free of cost,Retained
36,"One    Wooden    Box
with Picture of White House","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
37,One               Crystal Decoration piece,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.3,500/-",Free of cost,Retained
38,One     Glass     Made Flower Vase,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.6,500/-",Free of cost,Retained
39,One   Crystal   World Globe on Stand,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.6,000/-",Free of cost,Retained
40,"a.  One        Wooden
Book               of","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"a. NCV
b. NCV",Free of cost,Retained
,"Calligraphy
b.  One            book “Welcome        to Kuwait”",,,,,
41,"a.  One shield,
b.  One Scenery","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"a.  NCV
b. Rs.1,500/-",Free of cost,Retained
42,"One                 Metal
Decoration Bowl","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,000/-",Free of cost,Retained
43,One Ceramic Vase,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.2,500/-",Free of cost,Retained
44,"One Picture of China Three   Gorges   Dam
on Cloth","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
45,"a.  One         Framed Shield  “Canadian Forces”
b.  One   book   titled
“Canada”","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"a.  NCV
b.  NCV",Free of cost,Retained
46,One Steel Plate,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,Rs.800/-,Free of cost,Retained
47,One Metal Tray,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,200/-",Free of cost,Retained
48,One Pen Mont Blank,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.50,000/-","Rs.6,000/-","Amount deposited, gift retained"
49,"One      small      Box Containing             4
decorated        Wood Bars &
One Book","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
50,"One                 small
Decoration piece","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.2,000/-",Free of cost,Retained
51,One Model,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
52,One Brass Bowl,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.2,000/-",Free of cost,Retained
53,One Model of Ship,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
54,"One  Box  containing
2  Books  titled  “The Art  of  War”  (English &                 Chinese
Language)","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
55,One Pair of Cufflinks,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,000/-",Free of cost,Retained
56,One  Small Box  (Pair of Cufflinks),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,Rs.800/-,Free of cost,Retained
57,One Model of Buggi,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
58,One Shield,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
59,One Photo Album,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
60,"One                Frame
Containing Picture of Vase","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
61,One   Ceramic   Vase (White),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.2,500/-",Free of cost,Retained
62,One Photo Album,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
63,One Tie Case,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,500/-",Free of cost,Retained
64,One Photo Album,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
65,"One     Book     Title”
Chronicle              of
Malaysia”,          One
pumpkin           Fruit Trinket  Box  &  One
Pending       (Buckle) Framed","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
66,"Two   photograph   of the   President   with the     President     of
Turkey, Afghanistan","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
67,"Six    books    titled”
Benazir          Bhutto Reconciliation”","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
68,"Two books
One    Book    titled“
Muslim    History    &
Civilization”","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
69,One  Box  containing Acron Piece,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
70,One   Ceramic   Vase (Red),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.2,000/-",Free of cost,Retained
71,One    Wooden    Box containing       Cigars (24 pcs),"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.24,000/-","Rs.2,100/-","Amount deposited, gift retained"
72,"One            Souvenir (Golden   Plate   with Picture     of     Three
Gorges Dam)","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
73,One      Two      Side Picture of Panda,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,500/-",Free of cost,Retained
74,One Album,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
75,"One     book     titled “Govt Art Collection” and       two       pens
(Parker)","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.10,000/-",Free of cost,Retained
76,One Steel Box,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.1,500/-",Free of cost,Retained
77,"Wrist    Watch    with
pen,  Tie  &  Cufflinks (Van der Bauwede)","Mr.    Javed    Akhtar, Controller News, PBC",5/11/2010,"Rs.40,000/-","Rs.4,500/-","Amount deposited, gift retained"
78.`,"Five     books,     two magazine     &     two Registration    Forms of  Delhi  Sustainable Development
Summit 2009","Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,NCV,Free of cost,Retained
79.o,One     Sword     with Stand,"Mr.  Asif  Ali  Zardari, President of Pakistan",5/11/2010,"Rs.4,000/-",Free of cost,Retained
80,One  Souvenir  (gold plated),"Mr. Muhammad Ahsan Raja,          Additional Secretary,  Ministry  of
Interior",6/30/2010,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift retained"
81,One         Decoration Jewelry Box,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.6,000/-",Free of cost,Retained
82,One    Wooden    Box containing Tea Mats,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.2,000/-",Free of cost,Retained
83,One Shield Brass,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.3,000/-",Free of cost,Retained
84,"One     Diary,     one
Phone    Index    and one Notepad","Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,NCV,Free of cost,Retained
85,"a.  One
Decorated Jar
b.  one Decorated Tray","Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"a. Rs.3,000
b. Rs.1,500/
-Total: Rs.4,500/-",Free of cost,Retained
86,One          Decorated Wooden Box,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.1,500/-",Free of cost,Retained
87,One            Flowered Picture on Cloth,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.5,500/-",Free of cost,Retained
88,One      Picture      on Marble Slabs,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.2,500/-",Free of cost,Retained
89,One               Marble Decorated Jar,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.4,500/-",Free of cost,Retained
90,One Shield,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,NCV,Free of cost,Retained
91,One (small) Carpet,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
92,One Shield (Glass),"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,NCV,Free of cost,Retained
93,One   Wall   Hanging Calendar 2010,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,NCV,Free of cost,Retained
94,One Vase,"Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,"Rs.10,000/-",Free of cost,Retained
95,"One      Award      for
Mohtarma     Benazir Bhutto","Mr.  Asif  Ali  Zardari, President of Pakistan",7/22/2010,NCV,Free of cost,Retained
